# qw qx qy qz x y z 
-0.036900 -0.305474 -0.156362 0.938549 0.344988 0.314351 0.689581
-0.045294 -0.309816 -0.152487 0.937396 0.328474 0.316076 0.718325
-0.048571 -0.313219 -0.151737 0.936221 0.321134 0.319473 0.755037
-0.049261 -0.314194 -0.152345 0.935760 0.314696 0.328184 0.790489
-0.046529 -0.317832 -0.150893 0.934906 0.316812 0.314945 0.822469
-0.048390 -0.320418 -0.156763 0.932961 0.317575 0.314006 0.855590
-0.050396 -0.321345 -0.163207 0.931429 0.317487 0.318567 0.888736
-0.048877 -0.327273 -0.162425 0.929582 0.323791 0.303874 0.924171
-0.051636 -0.332411 -0.166002 0.926973 0.328297 0.303809 0.964158
-0.057164 -0.343886 -0.167721 0.922141 0.341092 0.289021 1.024346
-0.057415 -0.350976 -0.165536 0.919846 0.353943 0.288801 1.065680
-0.061192 -0.350072 -0.176636 0.917881 0.364206 0.292292 1.108410
-0.057112 -0.345753 -0.180444 0.919039 0.384387 0.281237 1.149688
-0.054015 -0.344486 -0.178997 0.919985 0.395832 0.282083 1.185844
-0.055465 -0.342436 -0.177376 0.920977 0.408002 0.283248 1.219481
-0.053066 -0.339337 -0.178962 0.921958 0.422605 0.278293 1.250426
-0.052647 -0.334010 -0.176400 0.924418 0.426376 0.287119 1.277015
-0.044883 -0.327315 -0.176908 0.927121 0.442536 0.280917 1.310975
-0.044177 -0.323262 -0.183372 0.927321 0.454196 0.276185 1.337185
-0.041707 -0.316711 -0.185134 0.929344 0.465467 0.268491 1.361845
-0.038056 -0.313195 -0.185958 0.930527 0.471537 0.258227 1.379664
-0.041831 -0.308311 -0.188347 0.931515 0.457827 0.267506 1.393171
-0.039555 -0.309720 -0.186492 0.931520 0.454481 0.267039 1.416668
-0.040537 -0.310978 -0.185943 0.931168 0.448778 0.268154 1.437405
-0.045118 -0.310834 -0.181514 0.931880 0.444750 0.273565 1.460929
-0.042983 -0.309246 -0.183614 0.932097 0.442562 0.265385 1.474533
-0.046450 -0.310924 -0.187086 0.930681 0.439934 0.260681 1.497204
-0.047355 -0.302132 -0.186423 0.933660 0.440601 0.255328 1.511818
-0.040637 -0.302900 -0.191556 0.932688 0.448905 0.240667 1.533749
-0.041653 -0.304860 -0.196009 0.931078 0.454317 0.238727 1.566345
-0.033654 -0.302117 -0.194852 0.932537 0.470750 0.226607 1.612380
-0.040322 -0.305910 -0.197381 0.930502 0.472745 0.225982 1.651150
-0.041639 -0.317377 -0.197334 0.926605 0.483597 0.219085 1.700303
-0.041812 -0.325373 -0.198357 0.923601 0.494848 0.212899 1.741120
-0.042756 -0.328271 -0.197856 0.922639 0.508685 0.210586 1.789445
-0.039231 -0.325014 -0.202406 0.922962 0.525029 0.198349 1.822724
-0.049223 -0.327430 -0.208209 0.920334 0.527550 0.205248 1.878191
-0.048862 -0.334820 -0.212895 0.916616 0.532678 0.199610 1.912262
-0.049954 -0.339766 -0.215458 0.914134 0.536469 0.198527 1.945399
-0.048306 -0.341097 -0.214819 0.913878 0.540720 0.198849 1.974463
-0.044059 -0.342162 -0.214542 0.913759 0.544587 0.197655 1.995127
-0.043359 -0.342243 -0.218125 0.912914 0.547111 0.201253 2.016749
-0.041787 -0.342059 -0.220382 0.912514 0.549947 0.200122 2.029593
-0.041526 -0.342140 -0.222113 0.912075 0.552245 0.198629 2.041075
-0.043966 -0.342361 -0.221784 0.911958 0.552714 0.200274 2.049609
-0.048002 -0.340357 -0.219494 0.913058 0.550269 0.207174 2.049707
-0.054170 -0.337954 -0.217545 0.914071 0.545881 0.215342 2.049710
-0.057065 -0.337595 -0.214594 0.914725 0.538674 0.220452 2.038884
-0.059119 -0.340952 -0.213105 0.913697 0.529856 0.223768 2.022401
-0.062961 -0.344633 -0.215096 0.911591 0.519747 0.227995 2.009279
-0.064889 -0.345372 -0.217548 0.910594 0.508496 0.230138 1.983464
-0.065647 -0.346901 -0.220015 0.909365 0.499008 0.231587 1.960032
-0.062973 -0.343764 -0.221666 0.910343 0.486333 0.238126 1.921827
-0.060049 -0.342754 -0.223428 0.910491 0.476187 0.242277 1.885420
-0.060484 -0.341213 -0.226166 0.910365 0.464073 0.247832 1.833643
-0.062802 -0.340485 -0.226887 0.910301 0.449243 0.253495 1.774492
-0.067869 -0.339435 -0.229577 0.909655 0.435956 0.259553 1.715214
-0.069004 -0.346870 -0.227904 0.907182 0.418872 0.264695 1.658367
-0.070210 -0.353481 -0.219632 0.906578 0.398073 0.272781 1.592389
-0.080596 -0.355873 -0.213270 0.906297 0.358562 0.284752 1.488406
-0.088856 -0.366481 -0.210348 0.901970 0.334067 0.291442 1.432920
-0.094053 -0.376369 -0.206862 0.898170 0.323234 0.295701 1.389914
-0.099780 -0.377978 -0.211816 0.895718 0.296142 0.297778 1.336695
-0.103775 -0.380366 -0.213652 0.893815 0.271587 0.303884 1.297546
-0.104093 -0.382574 -0.214859 0.892545 0.244488 0.304974 1.256728
-0.103503 -0.385903 -0.213001 0.891626 0.215406 0.307627 1.218304
-0.099703 -0.392092 -0.212957 0.889366 0.185738 0.307306 1.180988
-0.086613 -0.408863 -0.216221 0.882371 0.136003 0.296947 1.117232
-0.091156 -0.416716 -0.225834 0.875807 0.107872 0.298079 1.084563
-0.096480 -0.417181 -0.232733 0.873205 0.086087 0.301565 1.047186
-0.100847 -0.422674 -0.236007 0.869182 0.064742 0.309350 1.010007
-0.100833 -0.429335 -0.236332 0.865824 0.045876 0.320945 0.975127
-0.100467 -0.435543 -0.231087 0.864180 0.030864 0.330915 0.936649
-0.101202 -0.439812 -0.216623 0.865678 0.013116 0.344527 0.869205
-0.103270 -0.438576 -0.208002 0.868171 0.001836 0.358064 0.815583
-0.100075 -0.436819 -0.194510 0.872548 -0.007847 0.370875 0.755775
-0.089662 -0.442059 -0.183478 0.873430 -0.010761 0.383406 0.705820
-0.086460 -0.444822 -0.180466 0.872978 -0.021771 0.398929 0.650957
-0.080719 -0.445349 -0.167956 0.875751 -0.021775 0.414888 0.580791
-0.085773 -0.444568 -0.164920 0.876244 -0.020874 0.433050 0.544830
-0.086887 -0.444230 -0.159128 0.877376 -0.019735 0.448533 0.510916
-0.076804 -0.447192 -0.148774 0.878628 -0.016385 0.457145 0.472795
-0.070668 -0.450582 -0.145277 0.877996 -0.018674 0.482690 0.442184
-0.065458 -0.455459 -0.138527 0.876973 -0.009136 0.494647 0.417399
-0.064103 -0.459780 -0.128275 0.876378 0.011057 0.507480 0.382865
-0.065171 -0.460260 -0.123930 0.876673 0.024799 0.517660 0.361066
-0.060360 -0.461863 -0.114272 0.877486 0.054690 0.493007 0.335012
-0.060629 -0.466204 -0.117356 0.874760 0.065785 0.494314 0.309238
-0.057409 -0.476482 -0.118061 0.869327 0.079311 0.503447 0.289747
-0.058827 -0.486475 -0.116077 0.863949 0.096956 0.503925 0.268571
-0.061015 -0.493435 -0.115997 0.859851 0.114776 0.501679 0.252134
-0.066624 -0.503588 -0.115546 0.853586 0.134796 0.487736 0.227920
-0.071452 -0.512130 -0.116908 0.847909 0.139706 0.489794 0.207996
-0.075117 -0.521394 -0.116271 0.842014 0.145654 0.483186 0.190183
-0.076435 -0.528301 -0.116927 0.837487 0.152541 0.477632 0.170338
-0.079331 -0.534825 -0.119341 0.832722 0.154267 0.465578 0.145242
-0.083708 -0.540683 -0.123033 0.827960 0.157541 0.452625 0.128699
-0.086461 -0.540404 -0.130159 0.826768 0.167207 0.433814 0.112268
-0.088672 -0.536773 -0.139704 0.827342 0.170447 0.420984 0.090942
-0.086788 -0.536035 -0.148662 0.826459 0.176074 0.408118 0.076384
-0.087613 -0.535206 -0.160555 0.824682 0.188286 0.387044 0.061087
-0.094957 -0.538082 -0.167828 0.820540 0.200657 0.381375 0.061685
-0.100351 -0.542269 -0.173589 0.815929 0.213516 0.370830 0.062854
-0.103832 -0.546056 -0.179256 0.811732 0.225860 0.363965 0.061193
-0.105068 -0.551179 -0.181655 0.807567 0.245453 0.354506 0.067998
-0.110370 -0.558204 -0.183467 0.801602 0.262056 0.354739 0.078234
-0.113745 -0.566141 -0.182905 0.795671 0.286505 0.345424 0.094621
-0.119284 -0.572280 -0.181881 0.790687 0.302977 0.336187 0.100020
-0.127603 -0.584434 -0.181030 0.780629 0.321709 0.331900 0.120875
-0.136744 -0.599147 -0.178688 0.768371 0.339299 0.330608 0.144700
-0.143060 -0.612434 -0.169780 0.758705 0.353895 0.342390 0.164993
-0.150926 -0.621801 -0.168759 0.749737 0.382172 0.342850 0.194073
-0.160985 -0.628569 -0.172805 0.741029 0.399501 0.334583 0.204642
-0.174373 -0.648464 -0.175696 0.719874 0.414190 0.325163 0.210219
-0.178644 -0.663983 -0.174682 0.704769 0.424222 0.321873 0.216857
-0.182498 -0.674410 -0.174076 0.693948 0.439238 0.315800 0.215717
0.185022 0.685374 0.175247 -0.682142 0.466499 0.303394 0.231609
0.189967 0.693122 0.174164 -0.673173 0.481094 0.297453 0.232802
0.194115 0.698442 0.171254 -0.667211 0.497344 0.297911 0.231468
0.198774 0.701390 0.170027 -0.663047 0.514413 0.295853 0.230600
0.199082 0.707062 0.169526 -0.657032 0.531872 0.288445 0.227501
0.209575 0.712798 0.170877 -0.647146 0.551489 0.284703 0.227372
0.217397 0.714066 0.171020 -0.643117 0.566991 0.277135 0.237441
0.222980 0.715674 0.174093 -0.638579 0.575240 0.275432 0.244510
0.224802 0.722103 0.178389 -0.629451 0.581453 0.270749 0.246111
0.226361 0.733990 0.177426 -0.615255 0.581638 0.270202 0.250329
0.229462 0.747441 0.173626 -0.598776 0.577903 0.276452 0.259142
0.228100 0.759075 0.166148 -0.586660 0.573164 0.277738 0.263356
0.228556 0.767772 0.157377 -0.577513 0.566685 0.277195 0.279816
0.230159 0.772815 0.149934 -0.572104 0.555877 0.276489 0.300017
0.234420 0.777995 0.146020 -0.564313 0.534948 0.278320 0.327596
0.238239 0.788010 0.141506 -0.549780 0.502136 0.281541 0.363037
0.234656 0.793627 0.138375 -0.544008 0.482113 0.285801 0.385670
0.232848 0.799454 0.139116 -0.536006 0.462373 0.289542 0.403657
0.229459 0.814473 0.137182 -0.514940 0.433089 0.293862 0.418948
0.229117 0.822486 0.133450 -0.503203 0.411707 0.297842 0.425554
0.226696 0.829725 0.129623 -0.493318 0.391163 0.292879 0.446705
0.226590 0.831486 0.130848 -0.490068 0.370630 0.291686 0.453980
0.224611 0.834270 0.131343 -0.486099 0.348676 0.285353 0.472128
0.228726 0.832846 0.132597 -0.486281 0.322811 0.279355 0.486945
0.231434 0.835824 0.133473 -0.479606 0.292259 0.272305 0.497110
0.230374 0.842950 0.128467 -0.468892 0.256561 0.271429 0.509357
0.229214 0.850034 0.118814 -0.459114 0.217157 0.276528 0.516322
0.228993 0.857521 0.103333 -0.448935 0.161198 0.277485 0.535889
0.237491 0.861352 0.103134 -0.437076 0.122736 0.277319 0.544369
0.242295 0.864614 0.099179 -0.428835 0.083010 0.283386 0.550487
0.240853 0.869512 0.097502 -0.420038 0.046789 0.282959 0.565230
0.241084 0.873270 0.101515 -0.411062 0.016161 0.282631 0.573562
0.239994 0.880112 0.102241 -0.396675 -0.018432 0.290472 0.580297
0.229796 0.893885 0.092690 -0.373593 -0.064953 0.295642 0.602956
0.226010 0.901728 0.087229 -0.358048 -0.092338 0.294540 0.619418
0.225941 0.909892 0.083019 -0.337868 -0.127811 0.299319 0.643205
0.225637 0.917142 0.075825 -0.319670 -0.163395 0.299903 0.672211
0.227384 0.923551 0.066636 -0.301514 -0.197547 0.301627 0.706589
0.228431 0.928381 0.058613 -0.287217 -0.234165 0.311972 0.739820
0.221764 0.934882 0.050208 -0.272571 -0.275106 0.319689 0.775602
0.220184 0.941552 0.051299 -0.249734 -0.331841 0.321711 0.816378
0.221400 0.945262 0.051371 -0.234142 -0.374648 0.321585 0.834046
0.220243 0.948685 0.051156 -0.221071 -0.410232 0.320685 0.846306
0.218507 0.952639 0.053158 -0.204712 -0.449848 0.318873 0.853327
0.215166 0.956179 0.055292 -0.190705 -0.490007 0.320865 0.856168
0.207340 0.959418 0.055735 -0.182814 -0.521417 0.324027 0.854772
0.198000 0.963277 0.053639 -0.173254 -0.562684 0.322629 0.853642
0.193152 0.966388 0.048184 -0.162678 -0.601211 0.322313 0.847746
0.193393 0.968435 0.039932 -0.152112 -0.641550 0.323160 0.838289
0.200690 0.968890 0.033058 -0.141003 -0.684404 0.324069 0.825288
0.203656 0.970677 0.024700 -0.125298 -0.717118 0.330203 0.812004
0.199806 0.973410 0.026742 -0.108793 -0.738186 0.334569 0.796565
0.195141 0.977101 0.025150 -0.080996 -0.781288 0.337410 0.782266
0.199792 0.977284 0.021220 -0.067444 -0.806542 0.332033 0.774461
0.213042 0.975131 0.019641 -0.057851 -0.833549 0.324565 0.764075
0.226241 0.972924 0.023305 -0.041111 -0.871041 0.321139 0.749895
0.232227 0.971979 0.024270 -0.027194 -0.903687 0.315649 0.737448
0.230894 0.972683 0.017972 -0.015906 -0.939226 0.318927 0.721490
0.220531 0.975303 0.011981 -0.002426 -0.977970 0.320638 0.709913
0.215846 0.976273 0.011147 0.013280 -1.027188 0.323068 0.696189
0.211769 0.977050 0.013848 0.018299 -1.068297 0.326369 0.685636
0.213331 0.976502 0.016170 0.025935 -1.109578 0.325522 0.672478
0.218283 0.975107 0.020686 0.033040 -1.149633 0.320544 0.654309
0.224819 0.973603 0.021262 0.033190 -1.190471 0.315599 0.633418
0.225569 0.973528 0.020701 0.030566 -1.223048 0.311315 0.616231
0.228055 0.973003 0.022378 0.027471 -1.252012 0.305395 0.599897
0.224714 0.973560 0.018333 0.036724 -1.300649 0.302257 0.564500
0.215259 0.975331 0.012137 0.047395 -1.341677 0.295755 0.545524
0.215382 0.975145 0.001215 0.051981 -1.379646 0.292349 0.525204
0.224039 0.972806 -0.003601 0.058667 -1.407495 0.287645 0.505584
0.228620 0.970573 -0.005951 0.075396 -1.425322 0.296366 0.484484
0.230775 0.968108 -0.003913 0.097440 -1.449897 0.299746 0.469248
0.222694 0.967648 -0.007062 0.118383 -1.481512 0.305627 0.452246
0.214255 0.966577 -0.015009 0.139996 -1.511062 0.308158 0.440696
0.212321 0.963470 -0.022183 0.161720 -1.546814 0.303371 0.438109
0.215107 0.958246 -0.028448 0.186235 -1.579888 0.301308 0.429007
0.216334 0.951481 -0.036802 0.215704 -1.621111 0.300636 0.420649
0.216427 0.943152 -0.043597 0.248442 -1.662253 0.290728 0.428824
0.222595 0.929662 -0.051795 0.288957 -1.699970 0.288504 0.432892
0.238392 0.912665 -0.065079 0.325539 -1.735675 0.286529 0.436923
0.248200 0.897649 -0.071790 0.357029 -1.761410 0.303237 0.430333
0.245571 0.888987 -0.075279 0.379117 -1.785995 0.298556 0.451465
0.248991 0.874334 -0.091829 0.406338 -1.814777 0.304127 0.458899
0.242787 0.872286 -0.102194 0.411980 -1.830363 0.305649 0.470469
0.243166 0.870145 -0.104234 0.415757 -1.846605 0.303214 0.483578
0.245379 0.869588 -0.102979 0.415934 -1.864272 0.296096 0.497415
0.254989 0.868223 -0.106866 0.412007 -1.880226 0.294404 0.497681
0.258366 0.870094 -0.107714 0.405686 -1.890772 0.298714 0.502244
0.253742 0.873831 -0.107884 0.400495 -1.902119 0.300600 0.514249
0.251960 0.876050 -0.110752 0.395963 -1.922717 0.287160 0.537123
0.260253 0.877367 -0.114192 0.386595 -1.934836 0.295666 0.545015
0.260263 0.881470 -0.112687 0.377590 -1.955255 0.293717 0.548226
0.263300 0.885243 -0.111376 0.366896 -1.970546 0.295287 0.542436
0.262784 0.890507 -0.108182 0.355301 -1.986834 0.299003 0.535295
0.260644 0.894423 -0.101643 0.348914 -2.007872 0.297246 0.523359
0.260536 0.898014 -0.095356 0.341466 -2.021204 0.297513 0.513836
0.261487 0.900625 -0.091848 0.334758 -2.036574 0.302489 0.494666
0.260857 0.904104 -0.087496 0.326947 -2.055640 0.302994 0.474829
0.259826 0.907694 -0.082102 0.319127 -2.077539 0.297958 0.454566
0.261701 0.909990 -0.078756 0.311815 -2.091777 0.297912 0.432602
0.260894 0.912935 -0.074231 0.304917 -2.107890 0.301729 0.401592
0.255373 0.916230 -0.072026 0.300199 -2.126968 0.304913 0.372424
0.247218 0.919062 -0.073460 0.298013 -2.143367 0.309190 0.342394
0.244778 0.921536 -0.078872 0.290919 -2.156742 0.310646 0.305846
0.241671 0.921077 -0.080352 0.294543 -2.162726 0.312708 0.276310
0.237735 0.920832 -0.082522 0.297892 -2.164298 0.318069 0.248836
0.232675 0.921394 -0.082023 0.300278 -2.159684 0.322090 0.222528
0.229271 0.920936 -0.082022 0.304277 -2.155105 0.323716 0.195384
0.225695 0.921161 -0.080407 0.306691 -2.147920 0.323418 0.169732
0.222619 0.921565 -0.079019 0.308084 -2.137123 0.327600 0.139798
0.216230 0.924401 -0.075011 0.305123 -2.126699 0.321904 0.115862
0.216349 0.926227 -0.074585 0.299555 -2.116168 0.326362 0.081897
0.213622 0.930169 -0.071230 0.289961 -2.106577 0.327517 0.052409
0.213456 0.932811 -0.069850 0.281819 -2.095244 0.332728 0.017535
0.205773 0.939083 -0.062690 0.268048 -2.091189 0.342807 -0.035131
0.204363 0.944648 -0.056865 0.250283 -2.095164 0.346238 -0.067234
0.202392 0.950143 -0.050283 0.231813 -2.106126 0.347708 -0.097183
0.203275 0.954296 -0.048104 0.213739 -2.117474 0.348658 -0.124842
0.204368 0.958039 -0.045557 0.195755 -2.131231 0.347831 -0.153168
0.204559 0.960704 -0.042497 0.182747 -2.141846 0.346421 -0.183050
0.203599 0.962451 -0.039952 0.175044 -2.154792 0.336375 -0.213565
0.204945 0.962569 -0.039712 0.172865 -2.168552 0.332280 -0.251701
0.202690 0.962054 -0.038348 0.178601 -2.181590 0.328818 -0.286519
0.209519 0.960103 -0.039877 0.180870 -2.194147 0.328806 -0.318457
0.213536 0.957935 -0.041569 0.187178 -2.198721 0.335573 -0.359849
0.212545 0.956381 -0.042638 0.195810 -2.209859 0.335499 -0.393448
0.213603 0.955275 -0.047785 0.198846 -2.212388 0.337632 -0.422789
0.215062 0.953312 -0.046918 0.206744 -2.210861 0.336257 -0.446881
0.217122 0.950014 -0.053445 0.217888 -2.206636 0.340760 -0.482858
0.211882 0.947974 -0.057816 0.230452 -2.196869 0.338589 -0.529241
0.208501 0.945134 -0.059311 0.244402 -2.188013 0.341798 -0.563255
0.203535 0.941977 -0.059677 0.260175 -2.176021 0.340435 -0.602492
0.196311 0.939669 -0.061966 0.273210 -2.161894 0.341713 -0.640714
0.193686 0.938136 -0.061668 0.280327 -2.157256 0.338970 -0.679090
0.199015 0.934369 -0.064867 0.288340 -2.149378 0.336949 -0.720701
0.206862 0.929787 -0.072661 0.295678 -2.140701 0.338888 -0.763042
0.206155 0.929414 -0.072662 0.297337 -2.140352 0.334359 -0.797411
0.213823 0.926966 -0.071993 0.299718 -2.144366 0.330695 -0.835153
0.217368 0.924602 -0.073167 0.304152 -2.148527 0.329966 -0.876453
0.211051 0.922573 -0.077220 0.313613 -2.163830 0.330707 -0.934787
0.201384 0.922568 -0.079901 0.319264 -2.177214 0.334165 -0.964862
0.189075 0.921382 -0.080933 0.329781 -2.200573 0.335293 -1.013012
0.182415 0.918146 -0.080467 0.342428 -2.228110 0.335090 -1.058619
0.184629 0.912576 -0.079933 0.355989 -2.254399 0.336795 -1.105231
0.186937 0.905418 -0.085964 0.371327 -2.270604 0.351758 -1.153997
0.178478 0.900705 -0.087573 0.386273 -2.287072 0.361683 -1.194107
0.173677 0.895292 -0.086875 0.400926 -2.304556 0.364009 -1.238923
0.174058 0.886447 -0.086991 0.419939 -2.308861 0.369492 -1.290451
0.168262 0.878191 -0.084440 0.439702 -2.316660 0.363829 -1.340697
0.166498 0.871160 -0.084513 0.454110 -2.318110 0.360876 -1.392738
0.159273 0.865555 -0.087560 0.466669 -2.312133 0.355229 -1.463838
0.152783 0.861517 -0.090800 0.475605 -2.303956 0.354741 -1.513665
0.159417 0.851231 -0.095920 0.490706 -2.300379 0.351152 -1.578603
0.161603 0.845277 -0.104052 0.498563 -2.289213 0.365470 -1.636038
0.165331 0.844855 -0.098235 0.499234 -2.288901 0.367082 -1.684606
0.167578 0.839812 -0.092120 0.508082 -2.281830 0.379290 -1.736867
0.164017 0.836213 -0.087152 0.515995 -2.269753 0.386946 -1.773774
0.159168 0.826999 -0.087224 0.532099 -2.260890 0.387553 -1.846750
0.161439 0.818395 -0.090793 0.543989 -2.253307 0.381489 -1.899886
0.160815 0.810844 -0.095752 0.554529 -2.253371 0.378583 -1.949816
0.162399 0.802688 -0.100742 0.564951 -2.257009 0.377072 -2.001863
0.157125 0.795938 -0.103142 0.575462 -2.246113 0.378405 -2.043514
0.160815 0.785701 -0.105231 0.587996 -2.236250 0.372592 -2.092944
0.166501 0.774759 -0.109952 0.599946 -2.213354 0.380197 -2.130885
0.165352 0.766669 -0.111479 0.610286 -2.199881 0.381240 -2.174370
0.163148 0.761967 -0.112876 0.616481 -2.185255 0.375579 -2.212975
0.164592 0.757761 -0.116522 0.620589 -2.161523 0.370923 -2.250359
0.168120 0.751261 -0.117012 0.627415 -2.131424 0.357196 -2.303161
0.166580 0.747777 -0.118297 0.631733 -2.101862 0.350935 -2.330883
0.164188 0.741806 -0.124663 0.638142 -2.070090 0.343343 -2.366887
0.163261 0.737165 -0.138024 0.641002 -2.028785 0.361434 -2.398782
0.157562 0.735378 -0.138183 0.644438 -2.000710 0.359844 -2.426820
0.161074 0.730545 -0.137192 0.649259 -1.977821 0.355101 -2.457242
0.164051 0.718777 -0.141260 0.660676 -1.946005 0.359359 -2.483953
0.160549 0.704576 -0.146664 0.675489 -1.916905 0.359855 -2.508774
0.156931 0.690015 -0.152484 0.689928 -1.891435 0.362376 -2.532311
0.170573 0.658059 -0.157154 0.716356 -1.854045 0.347496 -2.579627
0.176957 0.641162 -0.159600 0.729469 -1.835974 0.343877 -2.612057
0.185027 0.622964 -0.161458 0.742706 -1.822113 0.328881 -2.651994
0.187388 0.610446 -0.173109 0.749850 -1.802652 0.324586 -2.688722
0.185110 0.603188 -0.182663 0.754011 -1.790081 0.319943 -2.715487
0.178964 0.597621 -0.188026 0.758596 -1.767029 0.320916 -2.740302
0.175331 0.590501 -0.192291 0.763932 -1.747198 0.316258 -2.761548
0.176128 0.582733 -0.196056 0.768741 -1.725350 0.310604 -2.780170
0.180032 0.572686 -0.201603 0.773935 -1.699609 0.306578 -2.796102
0.179978 0.562168 -0.207972 0.779951 -1.667280 0.304926 -2.817528
0.179044 0.556968 -0.208234 0.783816 -1.640239 0.298289 -2.832768
0.178500 0.548409 -0.212951 0.788693 -1.589540 0.288275 -2.861499
0.175071 0.542895 -0.217622 0.791995 -1.552197 0.281008 -2.876832
0.171084 0.534623 -0.221378 0.797434 -1.515978 0.272303 -2.892289
0.173727 0.518837 -0.230458 0.804684 -1.474496 0.270683 -2.906341
0.172442 0.505512 -0.238203 0.811160 -1.431362 0.268207 -2.927423
0.166847 0.503996 -0.241553 0.812282 -1.393576 0.269986 -2.949213
0.169308 0.500968 -0.240942 0.813826 -1.360481 0.270898 -2.974125
0.177957 0.493701 -0.238803 0.817046 -1.325383 0.268812 -2.997138
0.181716 0.488916 -0.237815 0.819380 -1.293630 0.273478 -3.019322
0.185504 0.482261 -0.234130 0.823526 -1.265661 0.269367 -3.048684
0.187345 0.466945 -0.229040 0.833310 -1.233070 0.266118 -3.079286
0.182256 0.447650 -0.226685 0.845580 -1.199762 0.263212 -3.113074
0.176306 0.427875 -0.231537 0.855704 -1.157274 0.261456 -3.152186
0.163026 0.411409 -0.241307 0.863676 -1.119099 0.267903 -3.202403
0.152025 0.404367 -0.250154 0.866487 -1.090673 0.269862 -3.249545
0.145760 0.374248 -0.255799 0.879352 -1.039479 0.282706 -3.301729
0.146745 0.345967 -0.253207 0.891437 -1.005239 0.289566 -3.325705
0.147613 0.317655 -0.250055 0.902651 -0.966803 0.289782 -3.342671
0.142422 0.290897 -0.247914 0.913035 -0.934069 0.294379 -3.352221
0.138992 0.259987 -0.244282 0.923804 -0.888839 0.293916 -3.364391
0.132457 0.237794 -0.240357 0.931739 -0.842877 0.291073 -3.380767
0.118085 0.225567 -0.241509 0.936402 -0.795440 0.294436 -3.398055
0.102351 0.220249 -0.245995 0.938350 -0.740117 0.298340 -3.417636
0.088763 0.225053 -0.243030 0.939366 -0.698637 0.301673 -3.440174
0.082008 0.230287 -0.248247 0.937345 -0.665465 0.302728 -3.464807
0.071704 0.219652 -0.252001 0.939738 -0.625568 0.315253 -3.472887
0.067924 0.211548 -0.247133 0.943164 -0.594671 0.320680 -3.486689
0.066943 0.196376 -0.243331 0.947494 -0.560254 0.330056 -3.492801
0.063241 0.172721 -0.241982 0.952687 -0.521002 0.336125 -3.503368
0.055160 0.150737 -0.241698 0.956984 -0.476572 0.342805 -3.504637
0.047103 0.130720 -0.240877 0.960558 -0.441388 0.342471 -3.510561
0.036685 0.111282 -0.240158 0.963636 -0.399533 0.341072 -3.516913
0.026728 0.089762 -0.245474 0.964868 -0.369351 0.349699 -3.519187
0.010338 0.065868 -0.245355 0.967138 -0.350120 0.367210 -3.513752
0.000079 0.043670 -0.243339 0.968958 -0.326600 0.371130 -3.508900
-0.002628 0.026394 -0.242543 0.969778 -0.290557 0.373212 -3.501987
-0.005828 0.004215 -0.240143 0.970711 -0.242286 0.373736 -3.480604
-0.007014 -0.009414 -0.239608 0.970799 -0.214048 0.367523 -3.466640
-0.010660 -0.018918 -0.238144 0.970987 -0.187069 0.361969 -3.444034
